# Adélka škola — Aplikovaná chemie 28-44-M/01, 2. ročník
# VOŠZ a SZŠ Praha 1, Alšovo nábřeží 6
# Formát: Otázka?;správná;špatná;špatná(;špatná);~vysvětlení

#TÉMA: Organická chemie — základy a vazby
Který prvek je základem všech organických sloučenin?;uhlík;dusík;křemík;kyslík;~Uhlík umí vytvářet čtyři vazby a řetězit se, proto zvládne miliony sloučenin.
Kolik vazeb tvoří uhlík ve stabilních organických sloučeninách?;čtyři;dvě;tři;šest;~Uhlík je čtyřvazný, má čtyři valenční elektrony.
Jaká je elektronová konfigurace valenční vrstvy uhlíku?;2s2 2p2;2s2 2p4;2s1 2p3;3s2 3p2;~Čtyři valenční elektrony ve druhé slupce.
Kterou hybridizaci má uhlík v methanu?;sp3;sp2;sp;bez hybridizace;~Čtyři jednoduché vazby, tvar tetraedru.
Kterou hybridizaci má uhlík v ethenu?;sp2;sp3;sp;sp3d;~Dvojná vazba znamená tři sigma vazby v rovině.
Kterou hybridizaci má uhlík v ethynu?;sp;sp2;sp3;sp3d2;~Trojná vazba, molekula je lineární.
Jaký je vazebný úhel u hybridizace sp3?;109,5°;120°;180°;90°;~Tetraedrické uspořádání dává úhel 109,5 stupně.
Jaký je vazebný úhel u hybridizace sp2?;120°;109,5°;180°;60°;~Trigonálně planární tvar, tři vazby v rovině.
Jaký je vazebný úhel u hybridizace sp?;180°;120°;109,5°;90°;~Lineární uspořádání, například u acetylenu.
Z čeho se skládá dvojná vazba?;z jedné sigma a jedné pí vazby;ze dvou sigma vazeb;ze dvou pí vazeb;ze tří sigma vazeb;~Sigma vazba je pevná, pí vazba je slabší a reaktivnější.
Z čeho se skládá trojná vazba?;z jedné sigma a dvou pí vazeb;ze tří sigma vazeb;ze dvou sigma a jedné pí;ze tří pí vazeb;~Proto je trojná vazba nejkratší a nejpevnější.
Která vazba je pevnější?;sigma;pí;obě stejně;delta;~Sigma vazba vzniká čelním překryvem orbitalů, pí bočním.
Jak se nazývá vzorec, který ukazuje jen počty atomů?;sumární (molekulový);strukturní;racionální;elektronový;~Například C2H6O, ale neřekne nám, jestli jde o ethanol nebo dimethylether.
Jaký vzorec zapisuje CH3-CH2-OH?;racionální;sumární;empirický;stechiometrický;~Zkrácený strukturní vzorec ukazuje uspořádání skupin.
Co udává empirický vzorec?;nejjednodušší poměr atomů;přesný počet atomů;prostorové uspořádání;molární hmotnost;~Například pro glukosu C6H12O6 je empirický vzorec CH2O.
Jaký typ vazby převládá v organických sloučeninách?;kovalentní;iontová;kovová;vodíková;~Uhlík sdílí elektronové páry, netvoří ionty.
Co je to homologická řada?;řada sloučenin lišících se o skupinu CH2;řada izomerů;řada solí;řada katalyzátorů;~Například methan, ethan, propan — vlastnosti se mění pozvolna.
Co znamená pojem uhlovodíkový zbytek?;část molekuly po odtržení vodíku;celá molekula uhlovodíku;funkční skupina;anorganický zbytek;~Například z methanu vznikne methyl CH3-.
Jak se značí obecně uhlovodíkový zbytek?;R;X;Z;Q;~Písmeno R zastupuje jakýkoli alkyl nebo aryl.
Co je funkční skupina?;atom nebo skupina určující vlastnosti látky;jakýkoli uhlík v řetězci;počet vazeb;izomer;~Funkční skupina rozhoduje o chemickém chování celé sloučeniny.
Jak se nazývá uhlík vázaný na jeden další uhlík?;primární;sekundární;terciární;kvartérní;~Podle počtu sousedních uhlíků rozlišujeme primární až kvartérní.
Jak se nazývá uhlík vázaný na tři další uhlíky?;terciární;primární;sekundární;kvartérní;~Terciární uhlík má tři uhlíkové sousedy a jeden vodík.
Co je to konstituce molekuly?;pořadí a způsob spojení atomů;prostorové uspořádání;počet elektronů;molární hmotnost;~Konstituce popisuje, co je na co navázané.
Co znamená nasycený uhlovodík?;obsahuje jen jednoduché vazby;obsahuje dvojnou vazbu;obsahuje trojnou vazbu;je aromatický;~Nasycené uhlovodíky jsou alkany a cykloalkany.
Co znamená nenasycený uhlovodík?;obsahuje násobnou vazbu;obsahuje jen sigma vazby;obsahuje kyslík;je vždy cyklický;~Alkeny, alkyny a areny jsou nenasycené.
Který uhlovodík je nejjednodušší?;methan;ethan;ethen;benzen;~Methan CH4 má jediný uhlík.
Co je to katenace?;schopnost atomů se řetězit;štěpení řetězce;tvorba iontů;oxidace;~Uhlík má schopnost katenace mimořádně vyvinutou.
Jaké je názvosloví organických sloučenin celosvětově řízeno?;IUPAC;ISO;ČSN;DIN;~Mezinárodní unie pro čistou a užitou chemii stanovuje pravidla.
Co určuje hlavní řetězec v názvosloví?;nejdelší řetězec s hlavní funkční skupinou;nejkratší řetězec;řetězec s nejvíce vodíky;libovolný řetězec;~Hlavní řetězec dává základ názvu.
Jak číslujeme hlavní řetězec?;tak, aby substituenty měly nejnižší lokanty;vždy zleva;vždy zprava;podle abecedy;~Cílem je nejnižší možná čísla poloh.

#TÉMA: Organická chemie — izomerie
